,accuracy,precision,recall,auroc,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
derm7pt,0.523590333716916,0.30050207900207904,0.3268350586611456,0.7686322692460488,0.28266161492778247,0.523590333716916,0.5432591385779881,0.34761904761904755,0.6066666666666667,0.15
padufes20,0.47939893359185654,0.42979255334024263,0.5359502870989616,0.7852681569239033,0.43002621449365214,0.47939893359185654,0.49332846448089374,0.32675438596491224,0.4358974358974359,0.36291117371106674
isic2019,0.7273420202533484,0.5307896256297219,0.4980998585712082,0.848223778247921,0.5100274160607413,0.7273420202533484,0.7209416441140606,,,
