,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.5900405327156919,0.7927018290007911,0.6301017188254074,0.586840978509695,0.58394110413794,0.5900405327156919,0.585951216655551,0.49248552517186067,0.7420079779762907,0.31355011602778105
padufes20,0.8212094653812445,0.897191578406657,0.6794409261257609,0.6641526821224173,0.6142443563274363,0.8212094653812445,0.8245476182908036,0.5185643564356436,0.8181818181818182,0.32573911630929175
isic2019,0.7232433279774269,0.8636358823620692,0.664805247907423,0.6806785676728023,0.6706711935829529,0.7232433279774269,0.7291413043837904,,,
