,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.6155182397220614,0.784463772989747,0.6365260436238663,0.6107467352370887,0.6004955805601764,0.6155182397220614,0.6025973246690325,0.6485009243629934,0.7768440709617179,0.5907538483703927
padufes20,0.8212094653812445,0.8636144322553067,0.6714171178873373,0.6761842403078216,0.61614236915741,0.8212094653812445,0.8259545973456206,0.4603174603174603,0.5510204081632653,0.2478508003809875
isic2019,0.771799192695066,0.838617136065137,0.722367050444969,0.7131708873414463,0.7152405906785672,0.771799192695066,0.767464943848179,,,
