,accuracy,precision,recall,auroc,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
derm7pt,0.5109321058688148,0.32210936010124647,0.3015169082125604,0.7768572871688878,0.26896550322035,0.5109321058688148,0.5148361312707661,0.4017691798941799,0.6000000000000001,0.1937424789410349
padufes20,0.5278720310227824,0.5128216592093857,0.533010467701007,0.7943823068218878,0.45869707249262176,0.5278720310227824,0.5106396521670001,0.353156146179402,0.35224586288416077,0.20348742510807036
isic2019,0.7765961308119488,0.5880018508543816,0.5406262444520036,0.8608779456270872,0.5591334041281515,0.7765961308119488,0.7674291366101104,,,
