,Accuracy,AUC-ROC,Precision (M),Recall    (M),F1        (M),EOM,PQD,DPM,FATE
Full Model,0.8624,0.8951,0.775,0.7777,0.7692,0.5749,0.897,0.2091,-0.0677
w/o L_MI,0.8723,0.8792,0.7976,0.7784,0.7872,0.5692,0.787,0.2021,-0.0946
w/o L_conf,0.8697,0.9009,0.7731,0.821,0.7905,0.651,0.7576,0.2337,0.0625
w/o L_con,0.8671,0.8992,0.7846,0.8092,0.7959,0.5824,0.7386,0.1349,-0.051
L_cls + L_MI,0.8676,0.8876,0.7989,0.7995,0.7981,0.6199,0.72,0.2372,-0.0028
L_cls only (baseline),0.8985,0.898,0.8375,0.8316,0.834,0.6145,0.8907,0.1818,
