,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.6247828604516502,0.7801754131467563,0.6395892154457302,0.6210384172951148,0.6167356785655561,0.6247828604516502,0.6179851644117018,0.752551741188105,0.7557932263814617,0.5962175483313782
padufes20,0.803680981595092,0.8387549285210515,0.6614985346258477,0.6560351796165164,0.5766012140073121,0.803680981595092,0.8045485451720109,0.1145124716553288,0.27272727272727276,0.1105761316872428
isic2019,0.7648234510326449,0.8338918031539567,0.7151159238564823,0.7046100373822327,0.7088601274668612,0.7648234510326449,0.7613919256694178,,,
