,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.5900405327156919,0.8040185884934236,0.6251181906742663,0.587955873386867,0.587098492643121,0.5900405327156919,0.5892495957048614,0.5096369186017252,0.8377479646829491,0.3029281127112331
padufes20,0.7502191060473269,0.886595534569033,0.6434240370486701,0.6914282018947845,0.5934586348920777,0.7502191060473269,0.7984119034003221,0.5073099415204678,0.8877692041920995,0.4754416427133319
isic2019,0.7337069404710586,0.8625755128903668,0.6939643283707252,0.6533060235786219,0.6650347298160127,0.7337069404710586,0.7321666925458055,,,
