,accuracy,precision,recall,auroc,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
derm7pt,0.525891829689298,0.29559044130472706,0.3389896480331263,0.7527146903739809,0.2822592274232617,0.525891829689298,0.5468551533146878,0.46523545987147524,0.7310469314079423,0.13333333333333333
padufes20,0.506543868153175,0.43652375792097703,0.5336167620304286,0.7905280987527943,0.4338106723252091,0.506543868153175,0.5094261492021521,0.3585185185185185,0.3895424836601307,0.243645890656002
isic2019,0.7435301803927262,0.5630504774545456,0.5186721176902761,0.8673077351325315,0.5308866259132792,0.7435301803927262,0.7363878248563775,,,
