,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.6195715112912565,0.7810996180854713,0.6279970807179592,0.6174428739695241,0.6175696311552006,0.6195715112912565,0.61914387611077,0.6492424242424243,0.8611797165298266,0.4957419043208839
padufes20,0.7782646801051709,0.8314847119674065,0.620103103286672,0.6670870113493065,0.5522455713494291,0.7782646801051709,0.7775331875020709,0.5564530962599633,0.8289473684210527,0.37873357228195936
isic2019,0.7735627228906219,0.8442754144785649,0.723664473640994,0.7197613466201083,0.7197433301546426,0.7735627228906219,0.770182534444766,,,
