,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.5738274464389114,0.7763293930141613,0.5981780167264038,0.5697730365883419,0.5601049594094031,0.5738274464389114,0.5622889839413473,0.5698496905393458,0.7272727272727273,0.49070703601953597
padufes20,0.7835232252410167,0.8343757406349305,0.6227903465062307,0.6273434216057167,0.542054792553187,0.7835232252410167,0.7811631484640124,0.38888888888888884,0.5631163708086785,0.262332315016767
isic2019,0.7560449896147666,0.8335401012759042,0.7010817508758258,0.7102891798547651,0.7049516583817722,0.7560449896147666,0.7556593890705026,,,
