,accuracy,precision,recall,auroc,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
derm7pt,0.29804372842347526,0.28736046495382594,0.2481821946169772,0.6711413358596516,0.166027665317139,0.29804372842347526,0.20570467008008647,0.16666666666666666,0.30324909747292417,0.20512820512820515
padufes20,0.5210857973824528,0.4272017184348257,0.4969658962156133,0.7342577041142622,0.4178566450805232,0.5210857973824528,0.5074096774596051,0.37486772486772485,0.5580524344569288,0.321854066011192
isic2019,0.7353635076766724,0.5615912170238584,0.49767422060666344,0.7171902950807078,0.5147175361022095,0.7353635076766724,0.7242618074005219,,,
