split,class,precision,recall,f1
cross_derm7pt,melanoma,0.2987551867219917,0.8571428571428571,0.4430769230769231
cross_derm7pt,nevus,0.8787878787878788,0.050434782608695654,0.09539473684210527
cross_derm7pt,basal cell carcinoma,0.25925925925925924,0.3333333333333333,0.2916666666666667
cross_derm7pt,actinic keratosis,0.0,0.0,0.0
cross_derm7pt,squamous cell carcinoma,0.0,0.0,0.0
