,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.6195715112912565,0.8001222143547994,0.6248072796552123,0.6167809982820031,0.6152991866338149,0.6195715112912565,0.6169861417657224,0.47661925932602617,0.8190899001109878,0.2798225122578571
padufes20,0.8334794040315513,0.9000696830911431,0.6742258349922583,0.6762909431887993,0.6338501239716576,0.8334794040315513,0.8371470864694255,0.6899001536098309,0.868421052631579,0.266284195184818
isic2019,0.7123486303248815,0.8466380285942927,0.644011650059515,0.6709071105119179,0.6532850558100031,0.7123486303248815,0.7159920476497985,,,
