,accuracy,precision,recall,auroc,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
derm7pt,0.5316455696202531,0.2818421405707933,0.2759434092477571,0.719370576271943,0.24893159615257798,0.5316455696202531,0.5423413108184848,0.5042929292929292,0.7310469314079423,0.19735258724428398
padufes20,0.4449830344158992,0.4555959424389552,0.49265649008425055,0.7624689659561082,0.38781720578594264,0.4449830344158992,0.44359319602761027,0.260990990990991,0.38501291989664077,0.37416680452494483
isic2019,0.7292294290588364,0.5394789117142,0.49202592916396126,0.8460257672350912,0.5085141424203826,0.7292294290588364,0.7201515839165723,,,
