,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.5819339895773017,0.7803238904406862,0.6098130638676684,0.5769219531184961,0.5658285459511393,0.5819339895773017,0.5678562224950747,0.6701363483832723,0.7274179334655211,0.6431904424552949
padufes20,0.8071866783523225,0.8805644827276794,0.6425638091269199,0.6498819801467973,0.5934403716238653,0.8071866783523225,0.8158004389538375,0.5671296296296297,0.7597707139134966,0.319517627593229
isic2019,0.7385664458988126,0.8587848690343449,0.6771248047010007,0.7083809050066906,0.6879987119996857,0.7385664458988126,0.742550588406971,,,
