,Accuracy,AUC-ROC,Precision (M),Recall    (M),F1        (M),EOM,PQD,DPM,FATE
Full Model,0.027,0.5116,0.0127,0.1392,0.0219,0.6071,0.4505,0.7903,0.1499
w/o L_MI,0.1074,0.4758,0.1435,0.1069,0.0776,0.6429,0.2848,0.5567,0.165
w/o L_conf,0.0277,0.4968,0.0105,0.1479,0.014,0.85,0.0,0.8523,0.6392
w/o L_con,0.2437,0.6493,0.0536,0.1813,0.0795,0.8631,0.2683,0.7597,0.9244
L_cls only (baseline),0.0647,0.592,0.1496,0.1718,0.0384,0.4722,0.2703,0.5468,
