,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.5732484076433121,0.7936513149078541,0.6245458428511418,0.5714715541857928,0.5643681714657792,0.5732484076433121,0.5660630268106286,0.5685414516683867,0.8627450980392156,0.3682348336846471
padufes20,0.7773882559158632,0.8769526272280735,0.6435369256155615,0.6514162382384324,0.5785470642142264,0.7773882559158632,0.8028744750743255,0.2903133903133903,0.2872340425531915,0.1614905623662191
isic2019,0.7572206764118039,0.8111702374652018,0.7004807236342905,0.6766233181703591,0.6843193763370504,0.7572206764118039,0.7496610742471709,,,
