,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.57498552403011,0.7508882215762811,0.5974830167728821,0.5718192425305885,0.5616882425564964,0.57498552403011,0.5629661280999141,0.7451860504915903,0.781713649851632,0.6882875147938222
padufes20,0.8483786152497809,0.840338004169691,0.6933532644885968,0.6379716752352314,0.6418467499180401,0.8483786152497809,0.8377841245473661,0.6570707070707071,0.8421052631578947,0.2548967487047982
isic2019,0.7577693302504213,0.8439559324850036,0.6982463391804137,0.7078020284481323,0.7006671789811603,0.7577693302504213,0.7556743083008199,,,
