split,fitzpatrick_type,accuracy
cross_fitzpatrick17k,FST 1,0.542528735632184
cross_fitzpatrick17k,FST 2,0.5782918149466192
cross_fitzpatrick17k,FST 3,0.5579268292682927
cross_fitzpatrick17k,FST 4,0.539906103286385
cross_fitzpatrick17k,FST 5,0.4803921568627451
cross_fitzpatrick17k,FST 6,0.53125
