,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.5535610885929357,0.8098355594150641,0.6367483573855278,0.5507046377435472,0.5298495092425911,0.5535610885929357,0.5320268218444364,0.40710209258084973,0.8307088989441931,0.2394859722014894
padufes20,0.694127957931639,0.8862406233772039,0.6633367810641777,0.6624389691855013,0.5370597885222876,0.694127957931639,0.7564489704595444,0.26666666666666666,0.0,0.08333333333333333
isic2019,0.7374299486616765,0.8506098265718459,0.6778526848085926,0.6738735300334633,0.6746774799635551,0.7374299486616765,0.739893012778895,,,
