,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.6045165026056746,0.7668216038097225,0.6306902920434466,0.6038940590842649,0.6038993369053277,0.6045165026056746,0.6048491179821146,0.7412488477869955,0.8047740835464622,0.4788341410663138
padufes20,0.7922874671340929,0.86738851008012,0.636768589951722,0.6802421832056131,0.5975805129539357,0.7922874671340929,0.8043391601025146,0.5656565656565656,0.8421052631578947,0.20689136496696636
isic2019,0.7657248109103735,0.8370469458454627,0.707385413496444,0.7077878784267879,0.7054703294457347,0.7657248109103735,0.7622775908713004,,,
