,accuracy,precision,recall,auroc,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
derm7pt,0.4315304948216341,0.3073227169655741,0.3269192546583851,0.7453316685301172,0.23928451169648737,0.4315304948216341,0.417529570415778,0.41846269473649816,0.6071428571428572,0.2690734055354994
padufes20,0.5021812893843917,0.5307294738398317,0.5086656611503624,0.7352435218099054,0.4264409114291796,0.5021812893843917,0.4661528482105334,0.36152286657237154,0.7180134680134679,0.18819327731092436
isic2019,0.7691190882363617,0.5846674726025431,0.5495653017909151,0.6841139875804497,0.5573116077841156,0.7691190882363617,0.7643867481567928,,,
