,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.6189924724956573,0.7965505047990326,0.6418593255920131,0.6142482616527337,0.5994936844944684,0.6189924724956573,0.6022716083381722,0.7752052957935311,0.8128342245989305,0.5787472383319524
padufes20,0.7949167397020158,0.8916634188171453,0.673440137936533,0.7002166391825914,0.5838528688213448,0.7949167397020158,0.8019266800703204,0.48877068557919623,0.5567010309278351,0.26886656220235355
isic2019,0.7746208410079555,0.8334149284894318,0.7478187942055546,0.691228034505034,0.7067070633169985,0.7746208410079555,0.7607127517780486,,,
