,accuracy,precision,recall,auroc,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
derm7pt,0.5523590333716916,0.3057953063885267,0.3241159420289855,0.6822068386826152,0.2859649122807017,0.5523590333716916,0.5740536611955666,0.26666666666666666,0.4166666666666667,0.17350399299857786
padufes20,0.4949103247697528,0.5123437990580848,0.523042439808546,0.7357665220425629,0.4347456751738969,0.4949103247697528,0.49264000129447433,0.4171587832457398,0.7525252525252525,0.32390540449267247
isic2019,0.7524227795724293,0.5623991745263981,0.5189636164853586,0.7041390749754536,0.535944695075878,0.7524227795724293,0.7435413785168227,,,
