split,fitzpatrick_type,accuracy
cross_padufes20,FST 1,0.9074074074074074
cross_padufes20,FST 2,0.8756567425569177
cross_padufes20,FST 3,0.8366533864541833
cross_padufes20,FST 4,0.6842105263157895
cross_padufes20,FST 5,0.5
cross_padufes20,FST 6,
