,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.5188187608569774,0.7581832957738688,0.5794584067613316,0.5120911854455527,0.4842969169690419,0.5188187608569774,0.48738038512487997,0.6348003984791609,0.7204543019393549,0.6612227524224027
padufes20,0.7528483786152498,0.8403505491833948,0.6280216743560169,0.6009053577779934,0.5040107837514558,0.7528483786152498,0.752812835639478,0.5354278074866311,0.6052631578947368,0.24674611308722358
isic2019,0.7586315005682486,0.8661547380113012,0.6989844421084691,0.7093224977856835,0.6997599838068732,0.7586315005682486,0.7563934119588763,,,
