,accuracy,precision,recall,auroc,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
derm7pt,0.5558112773302647,0.2999482580200069,0.32328778467908903,0.7714300920520091,0.2902712491016423,0.5558112773302647,0.5790496303131311,0.47037651702966105,0.7222222222222222,0.15282791817087846
padufes20,0.4968492486669898,0.4182810035891983,0.5086325531930914,0.7795896416046734,0.41780484305822413,0.4968492486669898,0.48928715729072325,0.3951388888888889,0.9350649350649349,0.28873566520625343
isic2019,0.7395738811658379,0.5476196555578472,0.5102935308314456,0.8589539131828072,0.5167796521828076,0.7395738811658379,0.7329871370592844,,,
