,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.5193977996525767,0.7066488648355264,0.5621659606500203,0.5191591936972105,0.5202985341138103,0.5193977996525767,0.5214309233527707,0.539896178392083,0.8414787449652377,0.4776869314617848
padufes20,0.7388255915863278,0.8239013659832061,0.5696689967848697,0.6105538849548938,0.5347786497530048,0.7388255915863278,0.7536084415831472,0.6357064277856357,0.6842105263157895,0.35468787647984373
isic2019,0.7512246737469138,0.8497722410692345,0.6902787411306983,0.6854429685556412,0.686350623657293,0.7512246737469138,0.7465597538919138,,,
