,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.5576143601621308,0.7423550280186125,0.5562023471062373,0.5552854484787124,0.5533470257952033,0.5576143601621308,0.5550804074865067,0.5870748713885969,0.5620915032679739,0.4201073083421125
padufes20,0.7887817703768624,0.8380995629009999,0.582373299158157,0.5674653215636822,0.5466721153325157,0.7887817703768624,0.7960169966029281,0.527743971151679,0.8595890410958904,0.3440099987376035
isic2019,0.7484422149939256,0.8682757204215532,0.6985793003576316,0.7013309643122979,0.699904072959832,0.7484422149939256,0.7493694709824704,,,
