,accuracy,auroc,precision,recall,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
fitzpatrick17k,0.6010422698320788,0.7690332991463703,0.618623828306815,0.5964326869361164,0.5869204345861624,0.6010422698320788,0.5892241392748343,0.6731588747151859,0.7469654528478058,0.5301571872879142
padufes20,0.8247151621384751,0.8368721295264816,0.6634769646081485,0.6350518964012029,0.5997707825258441,0.8247151621384751,0.8165965278153281,0.4579365079365079,0.7864077669902912,0.2619038336582196
isic2019,0.7667437394678058,0.8279069684731355,0.7197762097839137,0.6923232972768959,0.704400428171973,0.7667437394678058,0.7617829593039064,,,
