,accuracy,precision,recall,auroc,macro_f1,micro_f1,weighted_f1,EOM,PQD,DPM
derm7pt,0.5143843498273878,0.2808230908929584,0.3221366459627329,0.7188098047998898,0.263842359988757,0.5143843498273878,0.5560506328204227,0.46073674752920035,0.4666666666666667,0.2682588169952791
padufes20,0.5118759088705769,0.4443033844949003,0.5178791930378696,0.7748465198200398,0.43522628122375784,0.5118759088705769,0.49868409124221025,0.2369047619047619,0.19911297852474324,0.21600680841946143
isic2019,0.7442561068563754,0.5395261156997706,0.5144335451425713,0.8135064779956961,0.5224796284919396,0.7442561068563754,0.7392431863197251,,,
