split,fitzpatrick_type,accuracy
cross_padufes20,FST 1,0.5503355704697986
cross_padufes20,FST 2,0.5580304806565064
cross_padufes20,FST 3,0.535064935064935
cross_padufes20,FST 4,0.49019607843137253
cross_padufes20,FST 5,0.1111111111111111
cross_padufes20,FST 6,
